strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S2,0,1.940563973,1.9527570218,0.4206405171,0.5793594829,0.0383052898,4.0226499368,0.3455635286,0.4957175055,LINEAR
S2,0,1.9554943847,1.9672220139,0.3791950329,0.6208049671,0.0385109789,0,0.3037149013,0.4546751645,LINEAR
S2,0,2.0105668441,2.0154104852,0.3791950329,0.6208049671,0.0385109789,0.6663411435,0.3037149013,0.4546751645,LINEAR
S2,0,2.0613939539,2.0815204265,0.3227745297,0.6772254703,0.0375393548,0,0.2491987463,0.396350313,LINEAR
S2,0,2.1042545256,2.1248598583,0.3227745297,0.6772254703,0.0375393548,0.4075726054,0.2491987463,0.396350313,LINEAR
S2,0,2.1951561659,2.1991822989,0.3227745297,0.6772254703,0.0375393548,4.8578127699,0.2491987463,0.396350313,LINEAR
S2,0,2.2129075592,2.2139915251,0.3227745297,0.6772254703,0.0375393548,2.9378693084,0.2491987463,0.396350313,LINEAR
S2,0,2.2314551319,2.2336557861,0.3227745297,0.6772254703,0.0375393548,1.9200014789,0.2491987463,0.396350313,LINEAR
S2,0,2.2376973708,2.2488726601,0.2466871243,0.7533128757,0.0344960905,0,0.1790760293,0.3142982192,LINEAR
S2,0,2.2873205328,2.2900050743,0.2466871243,0.7533128757,0.0344960905,7.5160661521,0.1790760293,0.3142982192,LINEAR
S2,0,2.3352714996,2.3599108071,0.2466871243,0.7533128757,0.0344960905,13.216687013,0.1790760293,0.3142982192,LINEAR
S2,0,2.3677415354,2.3883667639,0.2466871243,0.7533128757,0.0344960905,14.911635419,0.1790760293,0.3142982192,LINEAR
S2,0,2.4794765348,2.4820767058,0.2466871243,0.7533128757,0.0344960905,6.238979149,0.1790760293,0.3142982192,LINEAR
S2,0,2.4904122264,2.496018032,0.2466871243,0.7533128757,0.0344960905,6.4847189551,0.1790760293,0.3142982192,LINEAR
S2,0,2.5292874281,2.5357459685,0.2466871243,0.7533128757,0.0344960905,5.2046464999,0.1790760293,0.3142982192,LINEAR
S2,0,2.6040338273,2.6357097933,0.2466871243,0.7533128757,0.0344960905,7.6653478801,0.1790760293,0.3142982192,LINEAR
S2,0,2.6948960605,2.6992773255,0.2466871243,0.7533128757,0.0344960905,11.415311795,0.1790760293,0.3142982192,LINEAR
S2,0,2.7629413572,2.7636533291,0.2466871243,0.7533128757,0.0344960905,8.4373254855,0.1790760293,0.3142982192,LINEAR
S2,0,2.8158129151,2.8747397232,0.2466871243,0.7533128757,0.0344960905,6.4125453515,0.1790760293,0.3142982192,LINEAR
S2,0,2.9409218156,2.9422843484,0.0944796038,0.9055203962,0.0231795014,0,0.0490486159,0.1399105917,LINEAR
S2,0,3.0955974688,3.0996100069,0.0944796038,0.9055203962,0.0231795014,6.3710840634,0.0490486159,0.1399105917,LINEAR
S2,0,3.1239618002,3.1275317766,0.0944796038,0.9055203962,0.0231795014,8.4057094138,0.0490486159,0.1399105917,LINEAR
S2,0,3.2627407629,3.2799494299,0.0944796038,0.9055203962,0.0231795014,8.6697685831,0.0490486159,0.1399105917,LINEAR
S2,0,3.3290743171,3.337312133,0.0944796038,0.9055203962,0.0231795014,12.480960269,0.0490486159,0.1399105917,LINEAR
S2,0,3.4466054211,3.5006026905,0.0944796038,0.9055203962,0.0231795014,0.9483191316,0.0490486159,0.1399105917,LINEAR
S2,0,3.5079107978,3.5276806871,0.0524545226,0.9475454774,0.0200502439,0,0.0131567667,0.0917522786,LINEAR
S2,0,3.6975507522,3.758836905,0.0524545226,0.9475454774,0.0200502439,13.915624855,0.0131567667,0.0917522786,LINEAR
S2,0,3.7903754218,3.8140845228,0,1,0,0,0,0,LINEAR
S2,1,0.1990091922,0.2166572366,0.9452492519,0.0547507481,0.0214986261,0,0.903112719,0.9873857849,LINEAR
S2,1,0.3670901097,0.3735486217,0.901553141,0.098446859,0.0269147138,0,0.8488012713,0.9543050107,LINEAR
S2,1,0.4005575739,0.4036661703,0.901553141,0.098446859,0.0269147138,2.5491429027,0.8488012713,0.9543050107,LINEAR
S2,1,0.4952448499,0.4957783711,0.8754214593,0.1245785407,0.0292700312,0,0.8180532524,0.9327896662,LINEAR
S2,1,0.5101175304,0.5213306797,0.8754214593,0.1245785407,0.0292700312,5.3423748216,0.8180532524,0.9327896662,LINEAR
S2,1,0.6028106003,0.610642862,0.8754214593,0.1245785407,0.0292700312,0.8818523663,0.8180532524,0.9327896662,LINEAR
S2,1,0.7077221288,0.7154010976,0.8469729365,0.1530270635,0.0319819905,0,0.7842893869,0.9096564861,LINEAR
S2,1,0.7247439576,0.7257216125,0.8469729365,0.1530270635,0.0319819905,13.253058468,0.7842893869,0.9096564861,LINEAR
S2,1,0.8250363967,0.8846693881,0.6386920098,0.3613079902,0.0420705923,0,0.5562351641,0.7211488556,LINEAR
S2,1,0.8987019439,0.9053032891,0.6386920098,0.3613079902,0.0420705923,2.9082156571,0.5562351641,0.7211488556,LINEAR
S2,1,0.9659703849,0.9831417417,0.6386920098,0.3613079902,0.0420705923,25.952411901,0.5562351641,0.7211488556,LINEAR
S2,1,0.9860676201,0.9999563228,0.6386920098,0.3613079902,0.0420705923,20.814545948,0.5562351641,0.7211488556,LINEAR
S2,1,1.0808235584,1.0836565569,0.6386920098,0.3613079902,0.0420705923,3.7330874833,0.5562351641,0.7211488556,LINEAR
S2,1,1.0885774191,1.0904936851,0.6386920098,0.3613079902,0.0420705923,5.9368020569,0.5562351641,0.7211488556,LINEAR
S2,1,1.1651431127,1.1667681774,0.5183021294,0.4816978706,0.0429251501,0,0.4341703812,0.6024338775,LINEAR
S2,1,1.1836061692,1.1858304436,0.5183021294,0.4816978706,0.0429251501,2.1693498226,0.4341703812,0.6024338775,LINEAR
S2,1,1.1923757526,1.1966673503,0.5183021294,0.4816978706,0.0429251501,1.7665933931,0.4341703812,0.6024338775,LINEAR
S2,1,1.1976042679,1.1999737578,0.512199201,0.487800799,0.0428770855,0,0.4281616576,0.5962367444,LINEAR
S2,1,1.2083298704,1.2141196029,0.512199201,0.487800799,0.0428770855,3.8917759287,0.4281616576,0.5962367444,LINEAR
S2,1,1.2299156096,1.2446020375,0.3991591743,0.6008408257,0.040933683,0,0.3189306298,0.4793877188,LINEAR
S2,1,1.2655643066,1.2669457253,0.3991591743,0.6008408257,0.040933683,3.1328511379,0.3189306298,0.4793877188,LINEAR
S2,1,1.2730191993,1.2732454999,0.3991591743,0.6008408257,0.040933683,1.6057459149,0.3189306298,0.4793877188,LINEAR
